"","res_id","date_gen","date_checkin","nights","guests","ori_id","agency_id","mean_price_per_night","status"
"5617",11645398,2021-09-15,2021-09-20,1,1,13,"Agencia_2",44.9,"Cancelled"
"5618",11396529,2021-08-11,2021-08-31,1,1,7,"Agencia_2",58.71,"Confirmed"
"5619",11645540,2021-09-15,2021-09-21,1,1,7,"Agencia_2",47.75,"Cancelled"
"5620",11664516,2021-09-17,2021-09-21,3,1,7,"Agencia_2",62.5866666666667,"Cancelled"
"5621",11619548,2021-09-12,2021-09-17,1,1,7,"Agencia_2",34.16,"Cancelled"
"5622",11619574,2021-09-12,2021-09-17,1,1,7,"Agencia_2",34.16,"Cancelled"
"5623",11619586,2021-09-12,2021-09-17,1,1,7,"Agencia_2",34.16,"Cancelled"
"5624",11619591,2021-09-12,2021-09-17,1,1,7,"Agencia_2",34.16,"Cancelled"
"5625",11619600,2021-09-12,2021-09-17,1,1,7,"Agencia_2",34.16,"Cancelled"
"5626",11619625,2021-09-12,2021-09-17,1,1,7,"Agencia_2",34.16,"Cancelled"
"5627",11657561,2021-09-16,2021-09-16,1,1,7,"Agencia_2",45.42,"Confirmed"
"5628",11657559,2021-09-16,2021-09-16,1,1,7,"Agencia_2",45.42,"Cancelled"
"5629",11411795,2021-08-13,2021-08-14,5,1,7,"Agencia_2",128.182,"Cancelled"
"5630",11411875,2021-08-13,2021-08-14,5,1,7,"Agencia_2",128.182,"Cancelled"
"5631",11648548,2021-09-15,2021-09-16,1,1,7,"Agencia_2",52.18,"Cancelled"
"5632",11624208,2021-09-13,2021-09-13,1,1,7,"Agencia_2",41.21,"Cancelled"
"5633",11665537,2021-09-17,2021-09-20,1,1,7,"Agencia_2",56.63,"Cancelled"
"5634",11624693,2021-09-13,2021-09-17,1,1,7,"Agencia_2",34.16,"Cancelled"
"5635",11624860,2021-09-13,2021-09-14,3,1,7,"Agencia_2",39.2833333333333,"Cancelled"
"5636",11403046,2021-08-12,2021-08-12,1,1,13,"Agencia_2",80.1,"Cancelled"
"5637",11625573,2021-09-13,2021-09-15,1,1,7,"Agencia_2",40.82,"Cancelled"
"5638",11403770,2021-08-12,2021-08-12,1,1,7,"Agencia_2",65.8,"Cancelled"
"5639",11625912,2021-09-13,2021-09-13,2,1,13,"Agencia_2",63.01,"Cancelled"
"5640",11627032,2021-09-13,2021-09-20,1,1,7,"Agencia_2",56.63,"Cancelled"
"5641",11628091,2021-09-13,2021-09-14,1,1,7,"Agencia_2",34.16,"Cancelled"
"5642",11404244,2021-08-12,2021-08-15,4,1,7,"Agencia_2",91.485,"Cancelled"
"5643",11666281,2021-09-17,2021-09-29,1,1,13,"Agencia_2",51.39,"Cancelled"
"5644",11631519,2021-09-13,2021-09-15,1,1,7,"Agencia_2",43.88,"Cancelled"
